Group,Reference                                                                        ,Phrase
五輪   ,https://www.news24.jp/articles/2021/07/27/04913146.html                          ,{{x}}の考えはない。強い警戒感を持って{{y}}に臨む
五輪   ,https://mainichi.jp/articles/20210721/k00/00m/010/203000c                        ,{{y}}を中止することは一番簡単なこと、楽なことだ。{{y}}に挑戦するのが国民の役割だ
五輪   ,https://www3.nhk.or.jp/news/html/20210709/k10013128911000.html                   ,安心安全な{{y}}に向けて全力で取り組む
五輪   ,https://www.asahi.com/articles/ASP785X16P78UTFK00Y.html                          ,{{z}}に打ち勝った証として{{y}}する
五輪   ,                                                                                 ,（{{y}}は）今更やめられないという結論になった
五輪   ,https://www.nishinippon.co.jp/nsp/item/n/662413/                                 ,『{{y}}するな』ではなく、『どうやったら{{y}}できるか』を皆さんで考えて、どうにかできるようにしてほしいと思います
五輪   ,https://news.yahoo.co.jp/articles/aa46e639840c8a5da3cc2f52b292c3e9ba59f345       ,もしこの状況で{{y}}がなくなってしまったら、大げさに言ったら死ぬかもしれない。それくらい喪失感が大きい。それだけ命かけて{{y}}する為に僕だけじゃなく{{y}}を目指す国民はやってきている
五輪   ,https://toyokeizai.net/articles/-/441221                                         ,家族に感動を与えたい。{{y}}は{{z}}禍収束の希望の光
五輪   ,https://www.asahi.com/articles/ASP645779P64UTFK00K.html                          ,我々は{{y}}の力を信じて今までやってきた。別の地平から見てきた言葉をそのまま言ってもなかなか通じづらいのではないか
五輪   ,https://www.mhlw.go.jp/stf/kaiken/daijin/0000194708_00353.html                   ,（{{y}}中止要請は）自主的な研究の成果の発表ということだと思う。そういう形で受け止めさせていただく
五輪   ,https://www.asahi.com/articles/ASP6364P8P63UTFK01G.html                          ,言葉が過ぎる。{{y}}中止を決める立場にない
五輪   ,https://www.asahi.com/articles/ASP7W6D5GP7WUTFK013.html                          ,{{y}}が感染拡大につながったエビデンスはない。中止の選択肢はない
五輪   ,                                                                                 ,（{{y}}について）国民は反発するだろうが、時間が経てば忘れるだろう
五輪   ,https://www.metro.tokyo.lg.jp/tosei/governor/governor/kishakaiken/2021/07/09.html,{{y}}することで、緊急事態宣言下でも{{y}}できるということを世界に示したい
五輪   ,https://www.nhk.or.jp/politics/articles/statement/27557.html                     ,{{y}}について限定的、統一的な定義は困難
五輪   ,                                                                                 ,{{a}}を訪問するという認識。{{y}}するという認識ではない
